id,question,prob,resolution,calibration_err,brier,nr_bettors,volume,attention_q,avg_bet
28qL0IZgEy,Joe Burrow takes snap after Week 2 of 2025-26 NFL Season?,0.9912,1,0.0088,0.0001,9,9807.523458638569,Q4_sophisticated,1089.7248287376187
ql806lUEg2,50k liquidity coinflip. [short fuse],0.5002,0,0.5002,0.2502,4,66.0,Q1_retail,16.5
pcqA0cR5c9,Daily Coinflip,0.5095,1,0.4905,0.2406,25,1648.3971550340764,Q1_retail,65.93588620136306
98AIlsER65,Daily Coin Flip - Day 614,0.505,1,0.495,0.245,13,437.5833283372092,Q1_retail,33.66025602593917
RdAUI9hdup,Will this market get LESS than 100 traders,0.99,1,0.01,0.0001,26,1663.7033561988392,Q1_retail,63.98859062303227
ESER28EIU9,TEST 03,0.5506,1,0.4494,0.202,3,25.312882703940577,Q1_retail,8.437627567980192
8Iu2uILcQ2,Daily Coinflip,0.5,0,0.5,0.25,5,152.803941180393,Q1_retail,30.5607882360786
ugZql2hRh2,Daily Coinflip,0.5,0,0.5,0.25,3,38.00000000999977,Q1_retail,12.666666669999925
8q8N5Qzdng,Daily Coinflip,0.5054,0,0.5054,0.2555,17,2941.3275788538017,Q2_small,173.01926934434127
pNu8E0NNgl,I and @MayaZtI9 make good progress on Effective Transsexualism this week,0.73,1,0.27,0.0729,8,144.01724607712197,Q1_retail,18.002155759640246
gcdhSqscPO,Will German fiber-optic provider install home connections without charging conne,0.1448,0,0.1448,0.021,4,213.0,Q1_retail,53.25
q0CUs65Nzt,Ripple (XRP) price above 2.5 at 9 AM?,0.3865,0,0.3865,0.1494,2,26.0,Q1_retail,13.0
90pn5NZSng,Will I stay up after 12am on Fourth of July?,0.7054,1,0.2946,0.0868,6,72.0094038991396,Q1_retail,12.001567316523266
shNqAdEstg,Will Claude Resolve this Market YES? (Hard Mode),0.1707,0,0.1707,0.0291,109,31717.441079052856,Q3_large,290.985697972962
l0zE9udcIA,More Heads or More tails?,0.027,0,0.027,0.0007,2,550.0,Q3_large,275.0
uOuIsuSpy5,Daily Coin Flip - Day 518,0.5065,1,0.4935,0.2435,9,466.0752863087449,Q1_retail,51.78614292319388
qqLCl2Ns8y,Daily Coinflip,0.51,0,0.51,0.2601,8,304.5879383482087,Q1_retail,38.07349229352609
dP29R0Zl8O,87% DAILY COINFLIP,0.7762,1,0.2238,0.0501,16,1166.435530259294,Q1_retail,72.90222064120587
UPLN2pSQAu,Will I manage to get with a serious girl until 04/08/2025?,0.3216,1,0.6784,0.4603,13,7374.113134135798,Q4_sophisticated,567.2394718565998
qAnO9cUuAt,Will Amit be late to repay any loan,0.5665,1,0.4335,0.188,7,4285.750388916837,Q4_sophisticated,612.2500555595482
OuIzLPPntp,Vingegaard outsprints Pogacar on any stage  of TdF 2025?,0.9371,1,0.0629,0.004,11,743.3338796407998,Q1_retail,67.5758072400727
udIdlA0cut,Christian rapture occurs on Sept 23rd 2025?,0.01,0,0.01,0.0001,9,1334.4339754591715,Q2_small,148.2704417176857
6EQRhSnQpc,Will I not regret eating 30-40 olives?,0.8366,1,0.1634,0.0267,116,11003.135800722572,Q2_small,94.8546189717463
LPICEQRqgO,Will François Bayrou’s government face a successful vote of non-confidence befor,0.0246,0,0.0246,0.0006,8,919.8950372051472,Q2_small,114.9868796506434
SzggucPEQu,Will Jake Paul beat Anthony Joshua in their boxing match?,0.07,0,0.07,0.0049,31,2607.376931138469,Q1_retail,84.10893326253125
uyyN8lgsOS,Will Japan have a woman as prime minister before the end of 2027?,0.9933,1,0.0067,0.0,29,3693.770911207712,Q2_small,127.37141073130041
hpL9y0EnRs,Will TSLA reach $ 500 in 2025,0.0028,0,0.0028,0.0,68,24503.178145102527,Q3_large,360.34085507503715
Od6SNIOZ82,NBA - Celtics beat Warriors Feb 19,0.7103,1,0.2897,0.0839,37,4371.100194867046,Q2_small,118.13784310451477
pLNLQZQdZA,OpenAI browser in 2025?,0.99,1,0.01,0.0001,58,23957.51496289277,Q3_large,413.060602808496
gNEPZc6CP0,Will I edit chapters 8 and 9 by 21:00 of 3rd of August 2025?,0.3274,1,0.6726,0.4524,4,96.94079912791422,Q1_retail,24.235199781978555
C60lQlR0ps,Daily Coinflip,0.5012,1,0.4988,0.2488,34,8827.389119903388,Q3_large,259.62909176186434
yz02Chydn8,Will I do total of 620 sessions of N-al N-back in the month of August? (320 sess,0.99,1,0.01,0.0001,5,1182.5837192547672,Q3_large,236.51674385095345
lL0qs0LItP,Hamas accepts Trump's proposed peace deal?,0.3281,0,0.3281,0.1076,544,223080.5932911005,Q3_large,410.0746200204053
OL26yAtttu,Will the Epstein Files be released by the December 19th deadline?,0.9851,1,0.0149,0.0002,326,52148.27545340531,Q2_small,159.96403513314513
O50SCSn6LO,3 is greater than 2,0.99,1,0.01,0.0001,5,85.46733922326025,Q1_retail,17.09346784465205
l5nRSR2u5R,Will the shooter of Charlie Kirk be apprehended alive by the end of September?,0.987,1,0.013,0.0002,186,216037.9593000584,Q4_sophisticated,1161.4944048390237
guANlQgNO6,Daily Coinflip,0.5046,1,0.4954,0.2454,29,4209.366203033233,Q2_small,145.1505587252839
56EZq5c6QS,Will the US put boots on the ground in Iran in 2026?,0.9826,1,0.0174,0.0003,1027,357368.8224630117,Q3_large,347.9735369649579
pRu8dCUAy9,Strikes on Iranian regime by 2026-01-16?,0.0097,0,0.0097,0.0001,324,96430.0147901984,Q3_large,297.623502438884
2Ig8fvrpMfK9DTbacYm2,Will Olaf Scholz remain the Chancellor of Germany until the end of 2021-2025 ter,0.0014,0,0.0014,0.0,54,12892.614750299294,Q3_large,238.75212500554247
SdPEpsLs0c,Will this question have 32+ traders by July 1?,0.9956,1,0.0044,0.0,33,798158.5384638808,Q4_sophisticated,24186.62237769336
2Pzhqt0tSp,Will @SimonWestlake be in the March 2026 Masters league?,0.01,0,0.01,0.0001,11,1154.3508513189456,Q2_small,104.94098648354051
8ctN9d5qtQ,Will this question get more than 50 traders in 1 week?,0.99,1,0.01,0.0001,52,24312.44177170763,Q4_sophisticated,467.5469571482236
8CPCQERsyl,Will Disney retain the international distribution rights to Doctor Who for a thi,0.0109,0,0.0109,0.0001,8,1201.1017445417533,Q2_small,150.13771806771916
p2IyNAI0Id,Will someone manipulate their own mention market again?,0.0257,0,0.0257,0.0007,30,8584.812966997453,Q3_large,286.16043223324846
s6u9EyUPO8,Will a further official meme coin named after a Trump family member be released ,0.1308,0,0.1308,0.0171,13,454.307870689284,Q1_retail,34.94675928379108
0IUCA5s8EN,Will the US strike Iran by the end of February?,0.9906,1,0.0094,0.0001,1049,533816.2420300978,Q4_sophisticated,508.88106961877764
4IaXuRTYkZjxuNSGvKVd,Will a projective plane of non-prime-power order be discovered before 2026?,0.02,0,0.02,0.0004,14,1916.430389657913,Q2_small,136.8878849755652
0OZ9yRPZnU,Will Iran retaliate against Israel within 72 hours?,0.9779,1,0.0221,0.0005,20,1804.4212096316903,Q1_retail,90.22106048158452
qgIhRnLtO0,Will Israel 🇮🇱 try to assassinate Ahmed Al Sharaa 🇸🇾?,0.0247,0,0.0247,0.0006,15,6902.742040358586,Q4_sophisticated,460.1828026905724
LuO8uU2Nlc,Will silver prices be $50 + by the end of 2025,0.9779,1,0.0221,0.0005,25,9617.972481286424,Q3_large,384.71889925145695
EAnSCLQZuh,"Will Antonio bring home a girl on January 8th, 2026?",0.5697,0,0.5697,0.3245,14,763.2163697620297,Q1_retail,54.51545498300212
d6AzgL2IAu,Will @bens puzzle be solved in the last hours of 2025? (+ clearinghouse),0.0093,0,0.0093,0.0001,19,10685.314876888566,Q4_sophisticated,562.3849935204508
Ls8A6zN09E,Will there be 40 inches of rain in Central Park this year?,0.04,0,0.04,0.0016,9,954.2174963365384,Q2_small,106.02416625961537
Sn5ItI8QEq,Will the YouTube app restore functional access to the subscriptions feed by Frid,0.5359,1,0.4641,0.2154,8,80.0,Q1_retail,10.0
59UpyRQndL,Will I write an essay about my crush for mcsp 2026?,0.5623,0,0.5623,0.3162,8,401.55802411817297,Q1_retail,50.19475301477162
udqOLltzSz,Will MBFC (Marlboro Football Club) win tonight's football match ?,0.2075,0,0.2075,0.0431,6,232.0,Q1_retail,38.666666666666664
2lpUCPAngI,Will Sora be the #1 App on October 31?,0.0106,0,0.0106,0.0001,381,139694.40619094038,Q3_large,366.65198475312434
A2SpC0NNuy,Will I eat a sandwhich at lunch by tommorow,0.487,1,0.513,0.2632,5,53.0,Q1_retail,10.6
Z50znQPzA6,Will the Bitcoin block height increase by 145+ blocks?,0.3806,0,0.3806,0.1448,5,77.17250822997698,Q1_retail,15.434501645995397
6cQCP6qIcy,"Will Ethereum (ETH) exceed $3,500 USD at 12:00 UTC on January 20, 2026?",0.2042,0,0.2042,0.0417,4,124.0,Q1_retail,31.0
ysOQpCg62s,Will an AI get gold at the IMO? (no time restrain),0.9755,1,0.0245,0.0006,36,3582.396972373075,Q2_small,99.5110270103632
t5Snz2nZER,Will I ask my parents for Claude subscription by February 10 2026,0.8603,1,0.1397,0.0195,2,185.0,Q1_retail,92.5
tSt96O9tQ5,Will gold (XAU/USD) reach $4942 within coming  hours?,0.4306,0,0.4306,0.1854,2,15.0,Q1_retail,7.5
qt9ItdUd6Q,"Will a speaker say ""maxxing"" or ""mogging"" during the Birmingham AI meetup on Mar",0.5209,1,0.4791,0.2296,2,15.0,Q1_retail,7.5
gydZ99uhcA,"Will any U.S. State have more than 2,000,000 customers without power in 2025?",0.0024,0,0.0024,0.0,18,3962.788784039984,Q3_large,220.15493244666578
8q2IA0Cug0,Will the Supreme Court hold that the FCC Universal Service Fund violates the non,0.0221,0,0.0221,0.0005,5,930.788302907485,Q2_small,186.157660581497
9gCplCOsLh,Will I get a girlfriend before I get an award on USAMO?,0.0234,0,0.0234,0.0005,22,4540.260651169211,Q3_large,206.37548414405504
zUCsqn29Zh,Will Jake Paul beat Anthony Joshua on 12/19/2025?,0.0059,0,0.0059,0.0,5,1679.0469189109842,Q3_large,335.80938378219685
sURNLA2UZ2,Will I have a higher net worth than the listed users (see desc.) at the end of S,0.0645,0,0.0645,0.0042,11,1021.115730224862,Q2_small,92.82870274771473
P0Cs9usO5R,The No-Bots Market. Which side will be automated-bots-free at market close?,0.8551,1,0.1449,0.021,10,1266.8112164329134,Q2_small,126.68112164329133
cqAyPISLA0,"Will the US move forward with constructing the ""Golden Dome"" in 2025?",0.9959,1,0.0041,0.0,48,25401.643340412666,Q4_sophisticated,529.2009029252639
Ngth2C9N0s,will my house blow up,0.3216,0,0.3216,0.1034,4,46.0,Q1_retail,11.5
hySyL5du6p,Will Japan beat Italy in the women’s ice hockey match at Milano-Cortina 2026 on ,0.8866,0,0.8866,0.786,3,230.0,Q1_retail,76.66666666666667
RCs6nsudhU,Will there be any girls at the Luncheon with Richard Hanania and Bryan Caplan?,0.3902,1,0.6098,0.3718,2,25.0,Q1_retail,12.5
5z2uZRzIQ6,Will Ayatollah Kamenei Flee Iran before Feb 6 2026?,0.0098,0,0.0098,0.0001,188,76625.90696642577,Q3_large,407.58461152354135
OIzRz8s6pZ,Will Iran hit Israel within 1 month of being attacked by them?,0.205,0,0.205,0.042,8,277.2060033104015,Q1_retail,34.65075041380019
ZPL8yn6UtQ,Will Hamnet be the Oscars 2026 Best Picture Winner?,0.01,0,0.01,0.0001,11,984.7253011842904,Q1_retail,89.52048192584458
CcSUEuh9sC,Will GPT-5 launch this week? (Before 8/9),0.9979,1,0.0021,0.0,136,58586.96909018864,Q3_large,430.78653742785764
5n4fsbzm94,Will Tua Tagovailoa retire from the NFL by the start of the 2025 regular season?,0.01,0,0.01,0.0001,28,12830.99288582308,Q4_sophisticated,458.2497459222528
zAUNAIU0yu,Will I get this job?,0.3041,0,0.3041,0.0924,65,5385.341554372792,Q1_retail,82.85140852881219
LQZlyQdUgl,Will market B get more traders than market A?,0.9218,1,0.0782,0.0061,19,758.1489519840859,Q1_retail,39.90257642021505
R05AOCzP56,Will this question have 50+ traders by November 1?,0.0695,0,0.0695,0.0048,9,654.8616812399584,Q1_retail,72.76240902666206
EZSlhSyqq2,Will the shitdown market be un-resolved or re-resolved before this market closes,0.0349,0,0.0349,0.0012,17,869.7352610265626,Q1_retail,51.16089770744486
dnCUugLOAl,Will Tenobrus' account be private for the rest of August?,0.0745,0,0.0745,0.0055,3,290.0,Q2_small,96.66666666666667
U2spctlyEu,Will Trump tweet about Zohran Mamdani in June?,0.0048,0,0.0048,0.0,64,4029.6156437966415,Q1_retail,62.96274443432252
4amdGgZFKTxUMC3Fym6F,Will Joe Biden win the 2024 US Presidential Election?,0.01,0,0.01,0.0001,5504,7781152.4616219485,Q4_sophisticated,1413.7268280563133
2hq0ZZ6c92,BBB wins at least 3 seats in 2025 Dutch elections?,0.942,1,0.058,0.0034,6,310.94388086368684,Q1_retail,51.82398014394781
h2h0QzCqqC,Will Trump publicly disparage Musk within a year of the election?,0.9929,1,0.0071,0.0001,1529,1195240.2573487118,Q4_sophisticated,781.713706572081
d1t4k3nz3t,Will Trump win the 2024 Election?,0.995,1,0.005,0.0,3770,11597965.481781026,Q4_sophisticated,3076.383416918044
SsAdHNNaI9hRRMe1XqgG,Will Donald Trump win the 2024 presidential election?,0.4999,1,0.5001,0.2501,2905,3750751.084688661,Q4_sophisticated,1291.1363458480762
7aown2of37,Will Trump win the popular vote in the 2024 Election?,0.99,1,0.01,0.0001,2174,3046154.0283305817,Q4_sophisticated,1401.174806039826
w4l6r8bqau,Will Joe Biden drop out of the election by end of July 2024?,0.99,1,0.01,0.0001,2083,4084845.585582237,Q4_sophisticated,1961.0396474230615
RQCgz8ANSI,JA21 wins at least 4 seats at the 2025 Dutch Elections?,0.9684,1,0.0316,0.001,6,543.9853650916964,Q1_retail,90.66422751528273
JRzyleybZUTR8GHXs7ug,Will either Joe Biden or Donald Trump be elected President in 2024?,0.9782,1,0.0218,0.0005,1801,1211543.5486510992,Q4_sophisticated,672.7060236818985
Os8d5AlEg9,Will Chuck Schumer endorse Zohran Mamdani before the NYC mayor election?,0.0067,0,0.0067,0.0,27,1235.8113876484215,Q1_retail,45.77079213512672
MtaKowPeVwT42ZTyspjy,Will Justin Trudeau lead the Liberal Party in the next federal election in Canad,0.004,0,0.004,0.0,68,18878.81144121689,Q3_large,277.6295800178955
5PZc8s29td,Kat Abughazaleh elected to Congress?,0.0104,0,0.0104,0.0001,20,1505.6123689455037,Q1_retail,75.28061844727519
hsz5Q4kYdw3UHZaCKfAf,Will the Liberal/National Coalition win more seats in the House of Representativ,0.01,0,0.01,0.0001,18,3173.3152933474776,Q2_small,176.29529407485987
3ng04ttxcj,Will Conor McGregor win the 2025 Ireland presidential election?,0.0106,0,0.0106,0.0001,16,6283.848929918493,Q3_large,392.7405581199058
LEDmsZt5QOYNBuP1YN8L,"If Trump is elected, will consumer ""vibes"" return to pre-pandemic levels before ",0.01,0,0.01,0.0001,14,2924.9062038277484,Q3_large,208.92187170198204
ytNjeVUCBb2Aj0ZIspcZ,Will there be a successful non-confidence vote in the Canadian Parliament before,0.01,0,0.01,0.0001,9,1476.6593643398264,Q2_small,164.07326270442516
suPRyQdRIg,PM Modi (BJP) wins Bihar election?,0.99,1,0.01,0.0001,4,4642.790594458918,Q4_sophisticated,1160.6976486147296
AhNCAt0LAR,Will Pierre Poilievre win the 2025 Canadian federal election?,0.01,0,0.01,0.0001,18,4082.093182288719,Q3_large,226.7829545715955
pl629IULZy,Will the country ranked #1 in The Economist’s 2025 Democracy Index have a direct,0.0572,0,0.0572,0.0033,14,1366.5197888709408,Q2_small,97.60855634792435
gLyd9yP99E,Will the LDP gain seats in the 2025 Japan Councillors Election?,0.0175,0,0.0175,0.0003,9,680.9837640121737,Q1_retail,75.6648626680193
NAUhtCENh6,Voter turnout in the 2025 Polish presidential election exceeds 70%,0.992,1,0.008,0.0001,9,1667.242313739269,Q2_small,185.2491459710299
96yQLccnqZ,Will the Democrats be favored to win the 2028 US presidential election in the la,0.9899,1,0.0101,0.0001,83,157930.8472821169,Q4_sophisticated,1902.7812925556254
ndASI20QRS,Chris Taylor wins Wisconsin Supreme Court election on April 7?,0.9893,1,0.0107,0.0001,11,998.3063510397868,Q1_retail,90.7551228217988
RJH3aufks8LK0Pjyhrgl,If Trump wins the election will the inflation rate in 2025 be below 2.5% (Curren,0.0299,0,0.0299,0.0009,283,195224.7773367185,Q4_sophisticated,689.8402026032455
gqtc9d8Pn9,Will Zack Polanski stand in the Gorton and Denton by-election?,0.0086,0,0.0086,0.0001,8,1397.1926314095692,Q2_small,174.64907892619615
sa32rmy14a,Can I go 2 weeks after the election without finding out who won?,0.0111,0,0.0111,0.0001,1013,570447.4207296454,Q4_sophisticated,563.1267726847437
Ua0kzjbcBjwSySES4hYt,Will Donald Trump win the 2024 US Presidential Election?,0.9899,1,0.0101,0.0001,992,1577883.019984129,Q4_sophisticated,1590.6078830485171
cALsOdgNzC,Major Election Riots in 2024-2025?,0.0064,0,0.0064,0.0,973,511589.1733640756,Q4_sophisticated,525.7853785858947
ylIXgDeMDCYkltnmAlpZ,Will a Democrat win the 2024 US presidential election?,0.0108,0,0.0108,0.0001,948,316943.94158867176,Q3_large,334.32905230872547
Iz0lRpO85N,One Nation gets at least 4 seats in the South Australian election?,0.9983,1,0.0017,0.0,122,117081.44746630832,Q4_sophisticated,959.683995625478
t7fuc67b72,Will Trump win Pennsylvania in the 2024 Presidential Election?,0.9936,1,0.0064,0.0,756,560327.7489285452,Q4_sophisticated,741.1742710695041
34P8aGIIM94HoFVU6qQr,Will Rafał Trzaskowski win the 2025 presidential elections in Poland?,0.0006,0,0.0006,0.0,78,74414.41967980514,Q4_sophisticated,954.0310215359633
Tx9a1HiZ66t1WLiNuCul,"If Trump is elected President in 2024, will he have won the popular vote?",0.979,1,0.021,0.0004,702,187976.8806182249,Q3_large,267.7733342139956
0tutUUqSnq,Will Israel or the United States launch airstrikes against Iran before the next ,0.9906,1,0.0094,0.0001,80,24612.16774930778,Q3_large,307.6520968663473
rzupx7lgck,Will Kamala Harris go on the Joe Rogan Experience before the 2024 election?,0.0001,0,0.0001,0.0,690,353911.4147447224,Q4_sophisticated,512.915093832931
zCuIccyEgS,Curtis Sliwa drops out of NYC election?,0.01,0,0.01,0.0001,21,4806.987278690684,Q3_large,228.90415612812782
8u5ncEZgnh,One Nation gets at least 5 seats in the South Australian election?,0.0189,0,0.0189,0.0004,24,7876.465901405686,Q3_large,328.18607922523694
2ZqQqn0cgq,Will Democrats win the Mar A Lago(Trump Residence) District- Florida State House,0.743,1,0.257,0.066,30,3514.157576561749,Q2_small,117.13858588539163
6dpdIOZhpP,Will Sanae Takaichi and the LDP win a majority after the Feb 8 snap election?,0.9811,1,0.0189,0.0004,37,11295.052083016348,Q3_large,305.27167791936074
S8NZOLphRL,Party for Freedom (PVV) secures the most seats in the Dutch parliamentary electi,0.0172,0,0.0172,0.0003,32,14815.977196066284,Q4_sophisticated,462.99928737707137
aMEvTtFY714shNpn8jRK,Will Eric Adams be re-elected mayor of New York City in 2025?,0.0053,0,0.0053,0.0,133,60322.377985031126,Q3_large,453.5517141731664
sPqOczl6A2,Democratic aligned candidate vote % in 50-60% range in the 2026 Wisconsin Suprem,0.7845,1,0.2155,0.0464,18,8676.05536273225,Q4_sophisticated,482.0030757073472
dnuLlsLtty,"In the Gorton and Denton by election, will the Greens get more votes than Labour",0.7948,1,0.2052,0.0421,27,2770.3222676490795,Q2_small,102.60452843144739
9NCNLquCQy,Will ECSA conduct a formal recount for the seat of Narungga in the 2026 SA Elect,0.9899,1,0.0101,0.0001,16,10113.782109079191,Q4_sophisticated,632.1113818174495
TaIfw33AESDOCOIGeL2A,"If Trump is elected, will there be a government shutdown before the 2026 midterm",0.9855,1,0.0145,0.0002,45,5937.781871147842,Q2_small,131.95070824772984
h3e96pix3m,Will Bruce Harrell be re-elected as mayor of Seattle in 2025?,0.003,0,0.003,0.0,27,3815.8881020145054,Q2_small,141.3291889635002
cN0PC8CCln,"Sherill (DEM) wins NJ gubernatorial election on Nov 4, 2025?",0.9112,1,0.0888,0.0079,29,9094.903421375504,Q3_large,313.617359357776
6ht560Rq2t,"Zohran Mamdani condemns ""globalize the intifada"" before the election?",0.01,0,0.01,0.0001,52,16399.3379202648,Q3_large,315.37188308201536
dg8EEz0NSI,Dutch parliament elections in 2025?,0.9786,1,0.0214,0.0005,12,6255.0,Q4_sophisticated,521.25
NebHotjsoyxjfz8FxVOJ,Will the next Speaker of the House be elected on the first ballot?,0.0,0,0.0,0.0,637,311766.1067875686,Q4_sophisticated,489.4287390699664
hQp0dq6hRS,Will the 2026 Portuguese presidential election require a second round?,0.99,1,0.01,0.0001,11,2386.8821888424213,Q3_large,216.98928989476556
cU0QnRy6Rt,PVV wins at least 30 seats at the 2025 Dutch Elections?,0.0146,0,0.0146,0.0002,14,961.6847955293376,Q1_retail,68.6917711092384
0IlIS8U8h5,Any party loses all seats in 2025 Dutch elections?,0.9655,1,0.0345,0.0012,14,1196.6242710837323,Q1_retail,85.47316222026659
Es2LInpz28,"If a Manifold presidental election was held today, would Kamala beat Trump?",0.99,1,0.01,0.0001,9,8377.77918579182,Q4_sophisticated,930.8643539768689
SZPEcpApgp,Will a duck be elected to public office before 18th July 2025 (or before a toast,0.073,0,0.073,0.0053,20,1144.1616668527956,Q1_retail,57.20808334263978
6nCPlRNd95,Trump questions legitimacy of Canadian elections by the end of May?,0.0138,0,0.0138,0.0002,73,8600.125237938108,Q2_small,117.80993476627545
8Rq6Q0lZ6g,Will Donald Trump‘s approval drop below 40% before US midterm election,0.9899,1,0.0101,0.0001,33,13312.436576576576,Q3_large,403.407168987169
